FUNDO DE INVESTIMENTO IMOBILIÁRIO FII CENESP;CNES11;13.551.286/0001-45
CORPORATE OFFICE PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO;COPP11;48.916.699/0001-60
CAPITÂNIA REIT FOF FUNDO DE INVESTIMENTO IMOBILIÁRIO;CPFF11;34.081.611/0001-23
CAPITÂNIA REIT FOF FUNDO DE INVESTIMENTO IMOBILIÁRIO II;CPFO11;48.916.246/0001-34
CAPITÂNIA SHOPPINGS FUNDO DE INVESTIMENTO IMOBILIÁRIO;CPSH11;47.896.665/0001-99
CAPITÂNIA SECURITIES II FUNDO DE INVESTIMENTO IMOBILIÁRIO;CPTS11;18.979.895/0001-13
CAIXA RIO BRAVO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO II;CRFF11;31.887.401/0001-39
COSMIC FUNDO DE INVESTIMENTO IMOBILIARIO;CSMC11;41.081.336/0001-03
FUNDO DE INVESTIMENTO IMOBILIÁRIO CENTRO TÊXTIL INTERNACIONAL;CTXT11;00.762.723/0001-28
FUNDO DE INVESTIMENTO IMOBILIÁRIO VBI CRI;CVBI11;28.729.197/0001-13
CVPAR FUNDO DE INVESTIMENTO IMOBILIÁRIO DE CRI;CVPR11;38.294.329/0001-85
FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA AGÊNCIAS;CXAG11;40.189.596/0001-34
FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA CEDAE;CXCE11B;10.991.914/0001-15
FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA CARTEIRA IMOBILIÁRIA;CXCI11;42.066.916/0001-94
FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA IMÓVEIS CORPORATIVOS;CXCO11;38.658.984/0001-75
CAIXA RIO BRAVO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO;CXRI11;17.098.794/0001-70
FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA SEQ LOGÍSTICA RENDA;CXTL11;12.887.506/0001-43
CYRELA CRÉDITO FUNDO DE INVESTIMENTO IMOBILIÁRIO;CYCR11;36.501.233/0001-15
CYRELA DESENVOLVIMENTO LOGÍSTICO FUNDO DE INVESTIMENTO IMOBILIÁRIO;CYLD11;43.010.601/0001-98
DIAMANTE FUNDO DE INVESTIMENTO IMOBILIÁRIO;DAMT11B;26.642.727/0001-66
DEVANT RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;DEVA11;37.087.810/0001-37
DEL MONTE AJAX FUNDO DE INVESTIMENTO IMOBILIÁRIO;DLMT11;28.108.193/0001-18
DOVEL FUNDO DE INVESTIMENTO IMOBILIÁRIO;DOVL11B;10.522.648/0001-81
DEVANT PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO;DPRO11;42.922.127/0001-08
MULTIGESTÃO RENDA COMERCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO;DRIT11B;10.456.810/0001-00
FUNDO DE INVESTIMENTO IMOBILIÁRIO DEVANT FUNDO DE FUNDOS IMOBILIÁRIOS;DVFF11;39.863.059/0001-49
FUNDO DE INVESTIMENTO IMOBILIÁRIO EDIFÍCIO OURINVEST;EDFO11B;06.175.262/0001-73
FUNDO DE INVESTIMENTO IMOBILIÁRIO EDIFÍCIO GALERIA;EDGA11;15.333.306/0001-37
ENERGY RESORT FUNDO DE INVESTIMENTO IMOBILIÁRIO;EGYR11;36.969.658/0001-53
FUNDO DE INVESTIMENTO IMOBILIÁRIO ELDORADO;ELDO11B;13.022.994/0001-99
EQI RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;EQIR11;41.076.380/0001-25
ESTOQUE RESIDENCIAL E COMERCIAL RIO DE JANEIRO FUNDO DE INVESTIMENTO IMOBILIÁRIO;ERCR11;37.266.902/0001-84
EUROPA 105 FUNDO DE INVESTIMENTO IMOBILIÁRIO;ERPA11;31.469.385/0001-64
FUNDO DE INVESTIMENTO IMOBILIÁRIO POLO ESTOQUE II;ESTQ11;18.497.672/0001-10
FUNDO DE INVESTIMENTO IMOBILIÁRIO EUROPAR;EURO11;05.437.916/0001-27
VBI CONSUMO ESSENCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO;EVBI11;34.691.520/0001-00
EXES FUNDO DE INVESTIMENTO IMOBILIÁRIO;EXES11;41.076.851/0001-03
FUNDO DE INVESTIMENTO IMOBILIÁRIO ANHANGUERA EDUCACIONAL;FAED11;11.179.118/0001-45
FATOR RENDA GALPÃO FUNDO DE INVESTIMENTO IMOBILIÁRIO;FAGL11;29.614.033/0001-03
FUNDO DE INVESTIMENTO IMOBILIÁRIO EDIFÍCIO ALMIRANTE BARROSO;FAMB11B;05.562.312/0001-02
FATOR RENDA URBANA FUNDO DE INVESTIMENTO IMOBILIÁRIO;FARU11;47.240.652/0001-67
FUNDO DE INVESTIMENTO IMOBILIÁRIO ATHENA I;FATN11;30.567.216/0001-02
FUNDO DE INVESTIMENTO IMOBILIÁRIO CAMPUS FARIA LIMA;FCFL11;11.602.654/0001-01
FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA MALL;FGPM11;23.781.227/0001-17
GENERAL SHOPPING ATIVO E RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO;FIGS11;17.590.518/0001-25
FUNDO DE INVESTIMENTO IMOBILIÁRIO INDUSTRIAL DO BRASIL;FIIB11;14.217.108/0001-45
RB CAPITAL RENDA I FUNDO DE INVESTIMENTO IMOBILIÁRIO;FIIP11B;08.696.175/0001-97
FUNDO DE INVESTIMENTO IMOBILIÁRIO INFRA REAL ESTATE;FINF11;18.369.510/0001-04
FUNDO DE INVESTIMENTO IMOBILIÁRIO SC 401;FISC11;12.804.013/0001-00
SÃO DOMINGOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;FISD11;16.543.270/0001-89
FUNDO DE INVESTIMENTO IMOBILIÁRIO VIDA NOVA;FIVN11;17.854.016/0001-64
FARIA LIMA CAPITAL RECEBÍVEIS IMOBILIÁRIOS I FUNDO DE INVESTIMENTO IMOBILIÁRIO;FLCR11;33.884.145/0001-51
FUNDO DE INVESTIMENTO IMOBILIÁRIO CONTINENTAL SQUARE FARIA LIMA;FLMA11;04.141.645/0001-03
FUNDO DE INVESTIMENTO IMOBILIÁRIO FLORIPA SHOPPING;FLRP11;10.375.382/0001-91
FUNDO DE INVESTIMENTO IMOBILIÁRIO MEMORIAL OFFICE;FMOF11;01.633.741/0001-72
FUNDO DE INVESTIMENTO IMOBILIÁRIO PROJETO ÁGUA BRANCA;FPAB11;03.251.720/0001-18
FUNDO DE INVESTIMENTO IMOBILIÁRIO PEDRA NEGRA RENDA IMOBILIÁRIA;FPNG11;17.161.979/0001-82
FRONTEIRA MULTI FUNDO DE INVESTIMENTO IMOBILIÁRIO;FRHY11;41.251.077/0001-11
OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO;FTCE11B;01.235.622/0001-61
FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING;FVPQ11;00.332.266/0001-31
FUNDO DE INVESTIMENTO IMOBILIÁRIO GUARDIAN LOGÍSTICA;GALG11;37.295.919/0001-60
FUNDO DE INVESTIMENTO IMOBILIÁRIO GUARDIAN MULTIESTRATÉGIA IMOBILIÁRIA I;GAME11;41.269.052/0001-45
GALAPAGOS FUNDO DE FUNDOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;GCFF11;35.652.154/0001-42
GALAPAGOS SPECIAL OPORTUNITIES FUNDO DE INVESTIMENTO IMOBILIÁRIO;GCOI11;46.285.299/0001-79
GALAPAGOS RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;GCRI11;38.293.897/0001-61
FUNDO DE INVESTIMETO IMOBILIÁRIO GENERAL SEVERIANO;GESE11B;17.007.528/0001-95
GGR COVEPI RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO;GGRC11;26.614.291/0001-00
GENERAL SHOPPING E OUTLETS DO BRASIL FUNDO DE INVESTIMENTO IMOBILIÁRIO;GSFI11;11.769.604/0001-13
GTIS BRAZIL LOGISTICS FUNDO DE INVESTIMENTO IMOBILIÁRIO;GTLG11;36.200.677/0001-10
FUNDO DE INVESTIMENTO IMOBILIÁRIO GREEN TOWERS;GTWR11;23.740.527/0001-58
GENIAL RENDA URBANA FUNDO DE INVESTIMENTO IMOBILIÁRIO;GURB11;36.501.210/0001-00
FUNDO DE INVESTIMENTO IMOBILIÁRIO VBI GREENPOWER;GVBI11;49.581.652/0001-56
GAZIT MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO;GZIT11;15.447.108/0001-02
HEDGE AAA FUNDO DE INVESTIMENTO IMOBILIÁRIO;HAAA11;27.445.482/0001-40
HABITAT RECEBÍVEIS PULVERIZADOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;HABT11;30.578.417/0001-05
FUNDO DE INVESTIMENTO IMOBILIÁRIO HBC RENDA URBANA;HBCR11;36.501.159/0001-37
FUNDO DE INVESTIMENTO IMOBILIÁRIO MULTI RENDA URBANA;HBRH11;30.871.698/0001-81
FUNDO DE INVESTIMENTO IMOBILIÁRIO HABITAT I;HBTT11;26.846.202/0001-42
HECTARE RECEBÍVEIS HIGH GRADE FUNDO DE INVESTIMENTO IMOBILIÁRIO;HCHG11;34.508.959/0001-54
FUNDO DE INVESTIMENTO IMOBILIÁRIO HOSPITAL DA CRIANÇA;HCRI11;04.066.582/0001-60
HECTARE DESENVOLVIMENTO STUDENT HOUSING FUNDO DE INVESTIMENTO IMOBILIÁRIO;HCST11;31.152.015/0001-07
HECTARE CE FUNDO DE INVESTIMENTO IMOBILIÁRIO;HCTR11;30.248.180/0001-96
HEDGE DESENVOLVIMENTO LOGÍSTICO FUNDO DE INVESTIMENTO IMOBILIÁRIO;HDEL11;44.514.162/0001-13
HEDGE PALADIN DESIGN OFFICES FUNDO DE INVESTIMENTO IMOBILIÁRIO;HDOF11;35.688.460/0001-39
HEDGE TOP FOFII 3 FUNDO DE INVESTIMENTO IMOBILIÁRIO;HFOF11;18.307.582/0001-19
HEDGE BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO;HGBS11;08.431.747/0001-06
CSHG RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;HGCR11;11.160.521/0001-22
CSHG IMOBILIÁRIO FOF FUNDO DE INVESTIMENTO IMOBILIÁRIO;HGFF11;32.784.898/0001-22
HGI CRÉDITOS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;HGIC11;38.456.508/0001-71
CSHG LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO;HGLG11;11.728.688/0001-47
CSHG PRIME OFFICES FUNDO DE INVESTIMENTO IMOBILIÁRIO;HGPO11;11.260.134/0001-68
CSHG REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO;HGRE11;09.072.017/0001-29
CSHG RESIDENCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO;HGRS11;41.922.239/0001-04
CSHG RENDA URBANA FUNDO DE INVESTIMENTO IMOBILIÁRIO;HGRU11;29.641.226/0001-53
HIRE LOG I FUNDO DE INVESTIMENTO IMOBILIÁRIO;HILG11;34.867.728/0001-37
HEDGE LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO;HLOG11;27.486.542/0001-72
HEDGE OFFICE INCOME FUNDO DE INVESTIMENTO IMOBILIÁRIO;HOFC11;31.894.369/0001-19
FUNDO DE INVESTIMENTO IMOBILIÁRIO HOUSI;HOSI11;34.081.631/0001-02
HEDGE SHOPPING PARQUE DOM PEDRO FUNDO DE INVESTIMENTO IMOBILIÁRIO;HPDP11;35.586.415/0001-73
HEDGE REALTY DEVELOPMENT FUNDO DE INVESTIMENTO IMOBILIÁRIO;HRDF11;16.929.519/0001-99
HEDGE RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;HREC11;35.507.262/0001-21
HSI ATIVOS FINANCEIROS FUNDO DE INVESTIMENTO IMOBILIÁRIO;HSAF11;35.360.687/0001-50
HSI LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO;HSLG11;32.903.621/0001-71
HSI MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO;HSML11;32.892.018/0001-31
HSI RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO;HSRE11;08.098.114/0001-28
FUNDO DE INVESTIMENTO IMOBILIÁRIO HOTEL MAXINVEST;HTMX11;08.706.065/0001-69
FUNDO DE INVESTIMENTO IMOBILIÁRIO HOSPITAL UNIMED CAMPINA GRANDE;HUCG11;39.347.413/0001-82
FUNDO DE INVESTIMENTO IMOBILIÁRIO HOSPITAL UNIMED SUL CAPIXABA;HUSC11;28.851.767/0001-43
HUSI FUNDO DE INVESTIMENTO IMOBILIÁRIO;HUSI11;30.017.492/0001-99
FUNDO DE INVESTIMENTO IMOBILIÁRIO DE CRI INTEGRAL BREI;IBCR11;40.011.251/0001-96
FUNDO DE INVESTIMENTO IMOBILIÁRIO DE UNIDADES AUTÔNOMAS;IDFI11;32.774.914/0001-04
FUNDO DE INVESTIMENTO IMOBILIÁRIO IRIDIUM RECEBÍVEIS IMOBILIÁRIOS;IRDM11;28.830.325/0001-10
IRIDIUM FUNDO DE INVESTIMENTO IMOBILIÁRIO;IRIM11;41.076.564/0001-95
INTER TEVA ÍNDICE DE PAPEL FUNDO DE INVESTIMENTO IMOBILIÁRIO;ITIP11;36.312.772/0001-06
INTER TEVA ÍNDICE DE TIJOLO FUNDO DE INVESTIMENTO IMOBILIÁRIO;ITIT11;36.293.425/0001-83
JASC RENDA VAREJO ESSENCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO;JASC11;40.886.241/0001-02
JBFO FOF FUNDO DE INVESTIMENTO IMOBILIÁRIO;JBFO11;36.615.915/0001-59
JACARANDÁ I FUNDO DE INVESTIMENTO IMOBILIARIO;JCDA11;31.772.231/0001-47
JACARANDÁ 02 FUNDO DE INVESTIMENTO IMOBILIÁRIO;JCDB11;35.705.542/0001-44
JFL LIVING FUNDO DE INVESTIMENTO IMOBILIÁRIO;JFLL11;36.501.181/0001-87
JPP CAPITAL RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;JPPA11;30.982.880/0001-00
JPP CAPITAL FUNDO DE INVESTIMENTO IMOBILIÁRIO;JPPC11;17.216.625/0001-98
FUNDO DE INVESTIMENTO IMOBILIÁRIO SHOPPING JARDIM SUL;JRDM11;14.879.856/0001-93
JS ATIVOS FINANCEIROS FUNDO DE INVESTIMENTO IMOBILIÁRIO;JSAF11;42.085.661/0001-07
JS REAL ESTATE MULTIGESTÃO FUNDO DE INVESTIMENTO IMOBILIÁRIO;JSRE11;13.371.132/0001-71
JT PREV FUNDO DE INVESTIMENTO IMOBILIÁRIO D. HAB;JTPR11;23.876.086/0001-16
KINEA CREDITAS FUNDO DE INVESTIMENTO IMOBILIÁRIO;KCRE11;42.502.802/0001-40
EVEN II KINEA FUNDO DE INVESTIMENTO IMOBILIÁRIO;KEVE11;32.317.313/0001-64
FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO KINEA FII;KFOF11;30.091.444/0001-40
EVEN PERMUTA KINEA FUNDO DE INVESTIMENTO IMOBILIÁRIO;KINP11;24.070.076/0001-51
KILIMA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS IMOBILIÁRIOS SUNO 30;KISU11;36.669.660/0001-07
KILIMA VOLKANO RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;KIVO11;42.273.325/0001-98
KINEA RENDIMENTOS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;KNCR11;16.706.958/0001-32
KINEA HEDGE FUND FUNDO DE INVESTIMENTO IMOBILIÁRIO;KNHF11;42.754.342/0001-47
KINEA HIGH YIELD CRI FUNDO DE INVESTIMENTO IMOBILIÁRIO;KNHY11;30.130.708/0001-28
KINEA ÍNDICES DE PREÇOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;KNIP11;24.960.430/0001-13
KINEA PREMIUM PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO;KNPR11;42.737.059/0001-07
KINEA II REAL ESTATE EQUITY FUNDO DE INVESTIMENTO IMOBILIÁRIO;KNRE11;14.423.780/0001-97
KINEA RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO;KNRI11;12.005.956/0001-65
KINEA SECURITIES FUNDO DE INVESTIMENTO IMOBILIÁRIO;KNSC11;35.864.448/0001-38
LEGATUS SHOPPINGS FUNDO DE INVESTIMENTO IMOBILIÁRIO;LASC11;30.248.158/0001-46
LATERES FUNDO DE INVESTIMENTO IMOBILIÁRIO;LATR11B;17.209.378/0001-00
LAVOURA FUNDO DE INVESTIMENTO IMOBILIÁRIO;LAVF11;37.467.733/0001-40
LOFT II FUNDO DE INVESTIMENTO IMOBILIÁRIO;LFTT11;24.796.967/0001-90
LOGCP INTER FUNDO DE INVESTIMENTO IMOBILIÁRIO;LGCP11;34.598.181/0001-11
LIFE CAPITAL PARTNERS FUNDO DE INVESTIMENTOS IMOBILIÁRIO;LIFE11;39.753.295/0001-02
FUNDO DE INVESTIMENTO IMOBILIÁRIO DEVELOPMENT V1;LKDV11;40.102.445/0001-05
BS2 ALLINVESTMENTS FUNDO DE INVESTIMENTO IMOBILIÁRIO;LLAO11;41.218.404/0001-33
LOFT I FUNDO DE INVESTIMENTO IMOBILIÁRIO;LOFT11B;19.722.048/0001-31
LAGO DA PEDRA FUNDO DE INVESTIMENTO IMOBILIÁRIO;LPLP11;37.262.752/0001-30
FUNDO DE INVESTIMENTO IMOBILIÁRIO LEBLON REALTY DESENVOLVIMENTO I;LRDI11;41.088.534/0001-07
LESTE RIVA EQUITY PREFERENCIAL I FUNDO DE INVESTIMENTO IMOBILIÁRIO;LSPA11;31.847.293/0001-70
LUGGO FUNDO DE INVESTIMENTO IMOBILIÁRIO;LUGG11;34.835.191/0001-23
FUNDO DE INVESTIMENTO IMOBILIÁRIO VBI LOGÍSTICO;LVBI11;30.629.603/0001-18
